Adj Close;Date;Table Name;Close;High;Low;Open;Volume
$2,387,100.00;4/21/2017;Page    2 Table  1;89853;90365;89677;90267;89853
$2,814,400.00;4/20/2017;Page    2 Table  1;90206;90532;89629;89970;90206
$2,870,200.00;4/19/2017;Page    2 Table  1;89920;91050;89737;90784;8992
$2,999,200.00;4/18/2017;Page    2 Table  1;90378;90961;90078;90099;90378
$2,854,700.00;4/17/2017;Page    2 Table  1;90199;90238;88750;88750;90199
$3,174,600.00;4/13/2017;Page    2 Table  1;88467;89497;88449;89145;88467
$2,456,100.00;4/12/2017;Page    2 Table  1;89623;90409;89525;90309;89623
$3,012,700.00;4/11/2017;Page    2 Table  1;90236;91124;89750;90704;90236
$3,184,300.00;4/10/2017;Page    2 Table  1;90704;90851;89900;89963;90704
$3,710,900.00;4/7/2017;Page    2 Table  1;89488;90009;88931;89965;89488
$6,344,100.00;4/6/2017;Page    2 Table  1;89828;91719;89449;91380;89828
$7,508,400.00;4/5/2017;Page    2 Table  1;90928;92372;90562;91082;90928
$4,984,700.00;4/4/2017;Page    2 Table  1;90683;90854;89028;89150;90683
$3,422,300.00;4/3/2017;Page    2 Table  1;89151;89349;88542;88800;89151
$3,957,600.00;3/31/2017;Page    2 Table  1;88654;89035;87665;87700;88654
$2,762,700.00;3/30/2017;Page    2 Table  1;87634;87706;87166;87495;87634
$4,485,800.00;3/29/2017;Page    2 Table  1;87432;87644;85902;85905;87432
$3,041,600.00;3/28/2017;Page    2 Table  1;85600;85846;85010;85175;856
$2,755,800.00;3/27/2017;Page    2 Table  1;84682;85030;83350;83807;84682
$2,138,300.00;3/24/2017;Page    2 Table  1;84561;85180;84353;85168;84561
$1,953,000.00;3/23/2017;Page    2 Table  1;84738;85089;84480;84820;84738
$2,658,700.00;3/22/2017;Page    2 Table  1;84806;84937;83905;84043;84806
$4,382,900.00;3/21/2017;Page    2 Table  1;84320;86280;84131;85884;8432
$2,282,700.00;3/20/2017;Page    2 Table  1;85697;85780;85101;85151;85697
$3,384,400.00;3/17/2017;Page    2 Table  1;85231;85383;85064;85349;85231
